ID,가격
TEST_00000,92.595566
TEST_00001,26.624863
TEST_00002,87.39213
TEST_00003,125.27029
TEST_00004,46.227715
TEST_00005,54.970108
TEST_00006,72.59683
TEST_00007,51.14666
TEST_00008,52.331207
TEST_00009,22.2765
TEST_00010,21.627684
TEST_00011,8.38579
TEST_00012,50.6306
TEST_00013,35.483078
TEST_00014,24.873323
TEST_00015,70.24249
TEST_00016,15.536952
TEST_00017,136.7836
TEST_00018,22.755192
TEST_00019,45.851833
TEST_00020,58.61152
TEST_00021,32.928127
TEST_00022,120.77605
TEST_00023,129.06241
TEST_00024,104.6843
TEST_00025,48.84664
TEST_00026,27.397297
TEST_00027,51.503723
TEST_00028,29.448566
TEST_00029,91.56067
TEST_00030,112.605545
TEST_00031,89.16414
TEST_00032,30.704205
TEST_00033,18.61718
TEST_00034,26.547585
TEST_00035,73.69027
TEST_00036,29.694773
TEST_00037,27.96025
TEST_00038,28.52541
TEST_00039,53.299152
TEST_00040,61.138947
TEST_00041,76.2039
TEST_00042,9.277149
TEST_00043,89.13244
TEST_00044,50.766853
TEST_00045,119.28593
TEST_00046,53.621117
TEST_00047,123.49341
TEST_00048,112.18312
TEST_00049,23.967623
TEST_00050,16.77727
TEST_00051,33.066956
TEST_00052,26.621124
TEST_00053,35.38434
TEST_00054,37.273277
TEST_00055,32.184605
TEST_00056,84.50947
TEST_00057,7.526067
TEST_00058,121.556244
TEST_00059,56.182003
TEST_00060,34.35681
TEST_00061,110.456696
TEST_00062,20.658848
TEST_00063,8.044669
TEST_00064,58.350056
TEST_00065,44.37423
TEST_00066,35.807102
TEST_00067,10.326487
TEST_00068,63.269653
TEST_00069,146.03026
TEST_00070,114.98362
TEST_00071,44.601303
TEST_00072,78.43113
TEST_00073,29.053402
TEST_00074,40.043404
TEST_00075,112.33821
TEST_00076,15.650074
TEST_00077,112.10665
TEST_00078,30.532637
TEST_00079,28.537437
TEST_00080,17.31985
TEST_00081,88.11046
TEST_00082,105.593155
TEST_00083,21.541267
TEST_00084,27.16875
TEST_00085,46.237976
TEST_00086,40.089046
TEST_00087,42.701218
TEST_00088,28.506317
TEST_00089,33.359287
TEST_00090,24.3708
TEST_00091,26.724731
TEST_00092,39.04114
TEST_00093,20.038433
TEST_00094,35.429283
TEST_00095,83.2078
TEST_00096,9.158169
TEST_00097,47.30935
TEST_00098,26.585594
TEST_00099,30.817589
TEST_00100,19.669876
TEST_00101,91.00033
TEST_00102,43.412457
TEST_00103,27.900787
TEST_00104,26.434078
TEST_00105,21.139341
TEST_00106,22.722208
TEST_00107,24.503204
TEST_00108,84.5072
TEST_00109,29.350138
TEST_00110,26.486477
TEST_00111,126.65341
TEST_00112,58.29793
TEST_00113,129.89363
TEST_00114,11.03883
TEST_00115,19.203606
TEST_00116,46.49223
TEST_00117,46.000206
TEST_00118,11.060326
TEST_00119,19.102282
TEST_00120,7.2901335
TEST_00121,54.68342
